YEAR,NAME,SAEMHI_LB90,SAEMHI_PT,SAEMHI_UB90,SAEPOVRT0_17_PT,SAEPOVALL_PT,SAEPOVRTALL_PT,YEAR,state,county
2013,Desha County,27342,30241,33140,47.5,4216,34.0,2013,05,041
2013,Drew County,31849,35249,38649,32.7,4411,24.8,2013,05,043
2013,Faulkner County,46273,49936,53599,19.7,17175,14.9,2013,05,045
2013,Franklin County,36110,38874,41638,31.2,3671,20.7,2013,05,047
2013,Fulton County,30446,33439,36432,40.1,2775,22.9,2013,05,049
2013,Garland County,36373,39057,41741,35.1,21098,22.1,2013,05,051
2013,Grant County,42411,47089,51767,21.5,2537,14.2,2013,05,053
2013,Greene County,37217,40840,44463,25.3,7500,17.7,2013,05,055
2013,Hempstead County,30584,33715,36846,36.2,5071,22.9,2013,05,057
2013,Hot Spring County,36780,39927,43074,29.8,5789,18.5,2013,05,059
2013,Howard County,29639,32740,35841,35.3,2867,21.5,2013,05,061
2013,Independence County,34728,37761,40794,27.2,6624,18.4,2013,05,063
2013,Izard County,30295,33308,36321,31.4,2618,20.8,2013,05,065
2013,Jackson County,29923,32923,35923,40.3,4266,27.5,2013,05,067
2013,Jefferson County,33372,36169,38966,38.0,17615,25.8,2013,05,069
2013,Johnson County,30467,33634,36801,32.5,5887,23.4,2013,05,071
2013,Lafayette County,27861,30642,33423,40.3,1846,26.0,2013,05,073
2013,Lawrence County,31749,34740,37731,33.6,3328,20.4,2013,05,075
2013,Lee County,24337,27068,29799,51.7,3391,41.1,2013,05,077
2013,Lincoln County,32924,36062,39200,30.3,2851,27.6,2013,05,079
2013,Little River County,32832,36310,39788,28.3,2423,19.3,2013,05,081
2013,Logan County,31206,34090,36974,30.4,4034,18.7,2013,05,083
2013,Lonoke County,52867,55648,58429,17.7,8803,12.6,2013,05,085
2013,Madison County,33648,36358,39068,30.2,3141,20.2,2013,05,087
2013,Marion County,31450,34217,36984,36.0,3090,19.0,2013,05,089
2013,Miller County,36713,40005,43297,32.0,8970,21.4,2013,05,091
2013,Mississippi County,31210,34285,37360,39.0,11228,25.6,2013,05,093
2013,Monroe County,26862,29870,32878,42.0,2176,28.7,2013,05,095
2013,Montgomery County,29054,31763,34472,37.5,2038,22.4,2013,05,097
2013,Nevada County,30021,33341,36661,32.5,1816,21.1,2013,05,099
2013,Newton County,29285,31824,34363,39.6,1878,23.5,2013,05,101
2013,Ouachita County,31704,35006,38308,43.6,6761,27.5,2013,05,103
2013,Perry County,39048,42328,45608,27.5,1789,17.5,2013,05,105
2013,Phillips County,23725,25894,28063,53.0,7380,36.6,2013,05,107
2013,Pike County,32288,35592,38896,34.0,2396,21.9,2013,05,109
2013,Poinsett County,31241,34113,36985,37.9,5853,24.7,2013,05,111
2013,Polk County,29490,31818,34146,37.9,4921,24.4,2013,05,113
2013,Pope County,36791,39704,42617,25.9,11743,20.0,2013,05,115
2013,Prairie County,35075,38921,42767,30.4,1609,19.6,2013,05,117
2013,Pulaski County,44226,46526,48826,25.7,66197,17.3,2013,05,119
2013,Randolph County,30551,33148,35745,34.0,3904,22.6,2013,05,121
2013,St. Francis County,26416,29011,31606,50.2,8623,37.3,2013,05,123
2013,Saline County,51324,54921,58518,15.5,11591,10.3,2013,05,125
2013,Scott County,29675,32404,35133,35.2,2293,21.2,2013,05,127
2013,Searcy County,24636,27299,29962,43.0,2053,25.9,2013,05,129
2013,Sebastian County,38401,41685,44969,32.5,27648,22.1,2013,05,131
2013,Sevier County,30561,33698,36835,32.9,3806,22.2,2013,05,133
2013,Sharp County,28955,31224,33493,38.7,3825,22.8,2013,05,135
2013,Stone County,24872,27522,30172,40.7,3247,26.2,2013,05,137
2013,Union County,34944,38132,41320,31.0,8434,21.0,2013,05,139
2013,Van Buren County,31749,35111,38473,30.0,3155,18.9,2013,05,141
2013,Washington County,40653,43302,45951,25.9,43559,20.9,2013,05,143
2013,White County,40926,43363,45800,22.9,12831,17.2,2013,05,145
